spieltag,spielnr,zeit,heim,auswärts,tore_heim,tore_auswärts,kommentar
1,2,2025-09-20 10:00,TSV SIEGSDORF,ESV FREILASSING,7,1,
1,1,2025-09-20 13:45,SV NEUKIRCHEN,BSC SURHEIM,0,21,
1,3,2025-09-20 13:45,DJK WEILDORF,SV OBERTEISENDORF,5,7,
1,4,2025-09-20 13:45,TSV 1895 TEISENDORF,SV SAALDORF,7,0,
1,5,2025-09-21,SG SCHONAU III,, , ,SPIELFREI
2,9,2025-09-26 18:30,ESV FREILASSING,DJK WEILDORF,7,2,
2,8,2025-09-27 10:00,SV OBERTEISENDORF,TSV 1895 TEISENDORF,3,4,
2,6,2025-09-27 11:30,SG SCHONAU III,SV NEUKIRCHEN,3,1,
2,7,2025-09-28,SV SAALDORF,, , ,SPIELFREI
3,13,2025-10-01 17:30,DJK WEILDORF,BSC SURHEIM,3,9,
3,12,2025-10-04 09:30,TSV SIEGSDORF,SV NEUKIRCHEN,,,Nichtantritt GAST
3,11,2025-10-04 11:30,SG SCHONAU III,SV SAALDORF,6,4,
3,14,2025-10-04 18:15,TSV 1895 TEISENDORF,ESV FREILASSING,0,3,
3,15,2025-10-05,SV OBERTEISENDORF,, , ,SPIELFREI
4,20,2025-10-10 17:00,BSC SURHEIM,TSV 1895 TEISENDORF,,, 
4,16,2025-10-10 18:00,SV NEUKIRCHEN,DJK WEILDORF,,, 
4,17,2025-10-11 09:00,TSV SIEGSDORF,SG SCHONAU III,,, 
4,18,2025-10-11 10:00,SV OBERTEISENDORF,SV SAALDORF,,, 
4,19,2025-10-12,ESV FREILASSING,, , ,SPIELFREI
5,10,2025-10-15 17:00,BSC SURHEIM,TSV SIEGSDORF,,, 
5,23,2025-10-17 16:30,DJK WEILDORF,TSV SIEGSDORF,,, 
5,22,2025-10-18 10:30,SV SAALDORF,ESV FREILASSING,,, 
5,21,2025-10-18 11:30,SG SCHONAU III,SV OBERTEISENDORF,,, 
5,24,2025-10-18 13:45,TSV 1895 TEISENDORF,SV NEUKIRCHEN,,, 
5,25,2025-10-19,BSC SURHEIM,, , ,SPIELFREI
6,28,2025-10-24 16:30,DJK WEILDORF,SG SCHONAU III,,, 
6,30,2025-10-24 17:00,BSC SURHEIM,SV SAALDORF,,, 
6,29,2025-10-24 18:30,ESV FREILASSING,SV OBERTEISENDORF,,, 
6,27,2025-10-25 09:00,TSV SIEGSDORF,TSV 1895 TEISENDORF,,, 
6,26,2025-10-26,SV NEUKIRCHEN,, , ,SPIELFREI
7,32,2025-10-31 15:30,SV SAALDORF,SV NEUKIRCHEN,,, 
7,34,2025-10-31 16:00,TSV 1895 TEISENDORF,DJK WEILDORF,,, 
7,33,2025-11-01 10:00,SV OBERTEISENDORF,BSC SURHEIM,,, 
7,31,2025-11-01 11:30,SG SCHONAU III,ESV FREILASSING,,, 
7,35,2025-11-02,TSV SIEGSDORF,, , ,SPIELFREI
8,37,2025-11-08 09:00,TSV SIEGSDORF,SV SAALDORF,,, 
8,39,2025-11-08 10:00,TSV 1895 TEISENDORF,SG SCHONAU III,,, 
8,40,2025-11-08 10:00,BSC SURHEIM,ESV FREILASSING,,, 
8,36,2025-11-08 13:45,SV NEUKIRCHEN,SV OBERTEISENDORF,,, 
8,38,2025-11-09,DJK WEILDORF,, , ,SPIELFREI
9,44,2025-11-14 18:30,ESV FREILASSING,SV NEUKIRCHEN,,, 
9,43,2025-11-15 10:00,SV OBERTEISENDORF,TSV SIEGSDORF,,, 
9,42,2025-11-15 10:30,SV SAALDORF,DJK WEILDORF,,, 
9,41,2025-11-15 11:30,SG SCHONAU III,BSC SURHEIM,,, 
9,45,2025-11-16,TSV 1895 TEISENDORF,, , ,SPIELFREI
